id,title,obj_type,obj_type_id,Identifier,Collection,Dimensions,Creation dates,created by,Description,Subjects,Subject,Related Collection,Link,distributed by,published by,published in association with,illustrated by,text by,Library of Congress Subject Headings,contributor,created for,was located at,originates from,Publication dates,was created in,designed by,printed by,describes,inspired by,Affiliation with Center for Book Arts,depicts,bound by,created at,typesetting by,Copyright dates,Highlight of,printed under the direction of,also created by,paper made by,typography by,edited by,donated by,drawings by,etchings by,enclosure by,CBA course taught by,photographs by,Unnamed: 48,funded by,text translated by,introduction written by,gift of,cover art by,influenced by,is about,foreword by,woodcuts created by,Submission dates,layout by,lithographs by,commissioned by,introduction by,Related Collections,preface by,calligraphy by,originally published by,owned by
729,]0,Zines,194,FA.B44.0527,Fine Art Collection,17 leaves; 16.6 x 23.5 cm,2008,Constantinos Chondros,"Issue Number 1. Spiral bound, laser print-reproduced zine with photographs, drawings and pictographs that have been written into the pages of a date book. Text is primarily in Greek. There is a tan envelope included in the binding that contains three xeroxed copies of a Yahoo!Mail (all are dated 9/11/2007). The content of these emails appears to be ASCII artwork (abstract compositions of ""]"" and ""0"" characters.) On the interior rear cover, there is a tipped in tyveck envelope that contains a DVD+R, which presents a series of short, experimental videos. CBA copy also includes a letter from the artist dated December 30, 2008. ""...the first issue of [0 zine...dedicated to the study of Anefology...a science dealing with anything non-feasable, non capable of being accomplished; so it has nothing to do with utopias.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"1/7 of Two Hours, 1 Day in One Summer",Pamphlet bindings,184,FA.B14.0214,Fine Art Collection,6 leaves; 30.4 x 24.5 cm (12 x 9 5/8 inches),1985,Kumi Korf,"Pamphlet bound with silver hand stitched binding; green, matte card stock cover. Exterior quarter binding is comprised of commercially printed and gilt Chinese paper; interior binding is reinforced with decorative silver foil paper. Flypapers are lightweight, black paper with deckle edges. Interior leaves consist of collages on Japanese tissue created from appropriated commercially printed book pages that have been heavily overprinted and overlayed with black ink and Chinese print and gilt paper. Book is signed and dated by the artist on the recto of the last page.","[""artists' books"", 'collages', 'pamphlet bindings']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3211,1 Ein Jahr hat 434 Tage oder 27 Zitronen sind 8 Stuehle,Books,177,FA.B55.0788,Fine Art Collection,21 cm,1970,"['Anna Löbner', 'Klaus Richter']","Perfect bound; offset printed, black and white photo reproductions with text. Pages are interleaved with embossed white translucent paper. Conceptual art.",,perfect binding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389,1 of the 4,Zines,194,FA.PC3.4073,Fine Art Collection,9 in x 6 in,NA,Kevin Aranibar,"Staple binding, commercially printed",,Zines,Christopher Kardambikis' Paper Cuts Zine Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7520,3-Pack Jack,Zines,194,FA.PC5.4151,Fine Art Collection,7 in x 7 in,2015,Darin Klein & Friends,"Staple binding, inkjet printed",,Zines,Christopher Kardambikis' Paper Cuts Zine Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4706,3 X Eva,Books,177,FA.SA6.1876,Fine Art Collection,11 x 6 x 1.5 in; 28 x 15.25 x 3.8 cm,NA,Gloria Helfgott,"Edition 1 of 1, paper/mixed media, purple leather binding, stab binding.","['mixed media', 'thread']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5960,"4,582 Stars",Perfect bindings,182,FA.B102.2191,Fine Art Collection,4.25 x 6.8 in; 10.8 x 17.25 cm,2018,Aaron Krach,"Perfect bindings. Paperback. Printed in color. 127 pages. Edition of 500. Collection of reviews of Osama Bin Laden's ""Hideout Compound"" on Google maps. ""Osama Bin Laden was killed May 2, 2011, in Abbatabad, Pakistan, where he lived for six years. Since then, more than 1,465 people have reviewed Bin Laden's 'Hideout Compound' on Google Maps, rating the location between one and five stars. Average rating: 3.2 stars. Additionally, 397 individuals submitted written reviews, which are contained in this book."" -- artist's statement","['paperbacks', 'perfect bindings', 'reviews']",,,Artist's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,5 Ketchups,Books,177,FA.SA7.1464,Fine Art Collection,3.5 x 1.5 x 1.5 in,2019,Ben Denzer,"""Ben Denzer, 2019 after Andy Warhol Eating a Hambruger, 1981""",,artists' books,,,Whitney Museum of American Art,Catalog Press,2018 Scholars for Advanced Studies in Book Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,6 in a Series of 26,Prints,191,FA.B40.0678,Fine Art Collection,3 leaves; 28 x 21.6,1992,Christina Starobin,"Three sheets of gray paper stapled together at the upper left corner; work consists of a title page with handwritten black ink text, and two pages that contain a photocopied poem, [""this is a poem for all the people that aren't here tonight...""]. Poem is dated 3/9/92. Signed by the artist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,[6 little books with 6 projects],Books,177,FA.B93.1435,Fine Art Collection,"6 books, unpaginated: ill. ; 6 x 9 cm., each",2011,Peter Spaans,"6 little books with 6 projects by Peter Spaans; #1-6 of an ongoing series. Titles include ""New York from the Yards"", ""Berlin - New York"", ""On the Road Too"", ""The Archival Project"", ""World Works"", and ""When Times Flies"".",,travel photography,,,,UNCONART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
