Exhibition Title,Start Date,Start Year,End Date,Street Address
Douglass Howell: Paper,03-17-1975,1975,04-18-1975,"15 Bleecker St, New York, NY 10012"
Hand-marbled papers by Giulio Giannini,06-22-1975,1975,NA,"15 Bleecker St, New York, NY 10012"
An Exhibition of Work by Members of the Center for Book Arts,02-29-1976,1976,03-21-1976,"80 Audubon St, New Haven, CT 06510"
North American Hand Papermaking,03-15-1976,1976,04-30-1976,"15 Bleecker St, New York, NY 10012"
Pleasure Beach,09-08-1976,1976,10-02-1976,"15 Bleecker St, New York, NY 10012"
The art of books and bookbinding,08-31-1976,1976,NA,"15 Bleecker St, New York, NY 10012"
Bruce Schnabel: Design Bindings,06-19-1977,1977,09-16-1977,"15 Bleecker St, New York, NY 10012"
Exhibition of works by Apprentices and Students,02-16-1977,1977,03-01-1977,NA
Book Makers: Center for Book Arts First Five Years,10-24-1979,1979,11-09-1979,"30 Cooper Sq, New York, NY 10003"
Handmade Books from the Center for Book Arts: Collaborations between CBA apprentices and established artists based in the Hamptons,08-04-1979,1979,08-14-1979,unspecified
The Book: Seven artists/different visions,09-15-1980,1980,10-18-1980,unspecified
The Naked Book,03-21-1980,1980,04-05-1980,"20 Jay St #616, Brooklyn, NY 11201"
A DOZEN DAYS: Expanded Stacks Compressed,09-28-1981,1981,10-09-1981,"15 Bleecker St, New York, NY 10012"
A DOZEN DAYS: Folded and Folded and Folded and Folded,06-22-1981,1981,07-03-1981,"15 Bleecker St, New York, NY 10012"
A DOZEN DAYS: Fresh Squeezed,10-12-1981,1981,10-23-1981,"15 Bleecker St, New York, NY 10012"
A DOZEN DAYS: Illustration & Text,11-09-1981,1981,11-20-1981,"15 Bleecker St, New York, NY 10012"
A DOZEN DAYS: Larger Than Life,11-23-1981,1981,12-04-1981,"15 Bleecker St, New York, NY 10012"
A DOZEN DAYS: Three Small Presses,10-26-1981,1981,11-06-1981,"15 Bleecker St, New York, NY 10012"
Entrapped: The book as container,04-04-1981,1981,04-30-1981,"18 W 53rd St, New York, NY 10019"
Paper doll window display,11-01-1981,1981,NA,"15 Bleecker St, New York, NY 10012"
To be continued: The sequential image in photographic books,01-01-1981,1981,03-01-1981,multiple
All Books None Paper,09-21-1982,1982,10-29-1982,"314 W 54th St, New York, NY 10019"
Back and Forth,11-01-1982,1982,11-30-1982,"15 Bleecker St, New York, NY 10012"
Britain Salutes New York,04-14-1982,1982,05-31-1982,NA
Collaborations,06-01-1982,1982,06-30-1982,multiple
It's Academic,03-01-1982,1982,03-30-1982,"15 Bleecker St, New York, NY 10012"
New In '82,12-02-1982,1982,12-30-1982,"15 Bleecker St, New York, NY 10012"
North American Hand Papermakers 1976,05-01-1982,1982,05-28-1982,"15 Bleecker St, New York, NY 10012"
Painted: Over Pages,06-01-1982,1982,06-30-1982,"15 Bleecker St, New York, NY 10012"
Rolled Into One,10-04-1982,1982,10-29-1982,"15 Bleecker St, New York, NY 10012"
Stories Your Mother Never Told You,03-12-1982,1982,05-09-1982,"100 Martine Ave, White Plains, NY 10601"
The Big Picture,09-01-1982,1982,09-30-1982,"15 Bleecker St, New York, NY 10012"
The Open Book: Works by Bruce Bacon,04-01-1982,1982,04-30-1982,"15 Bleecker St, New York, NY 10012"
The Photographic Narrative,05-03-1982,1982,05-28-1982,"15 Bleecker St, New York, NY 10012"
Britain Salutes New York 1983,04-14-1983,1983,05-31-1983,NA
Building Images: George Lukacs,02-01-1983,1983,02-25-1983,NA
Echoes of the Sea,01-04-1983,1983,01-28-1983,NA
For Members Only,06-01-1983,1983,06-30-1983,NA
From Coast to Coast,10-09-1983,1983,10-28-1983,"735 Anderson Hill Rd, Purchase, NY 10577"
One Cubic Foot,10-04-1983,1983,10-28-1983,"1000 5th Ave, New York, NY 10028"
The Thread of an Idea,03-01-1983,1983,03-31-1983,NA
Center for Book Arts: The First Decade,09-07-1984,1984,11-29-1984,"476 5th Ave, New York, NY 10018"
Book Artchitecture,03-05-1985,1985,03-29-1985,"1000 5th Ave, New York, NY 10028"
Book Artists in Residence: 5 Programs,11-05-1985,1985,12-05-1985,"626 Broadway, New York, NY 10012"
Book Rate: Artist Members Invitational,09-21-1985,1985,10-26-1985,"626 Broadway, New York, NY 10012"
Early Bindings from Richard Minskys Collection,03-01-1985,1985,05-29-1985,"626 Broadway, New York, NY 10012"
Well Read and in the Pink,03-15-1985,1985,04-30-1985,"626 Broadway, New York, NY 10012"
A Survey of Bookworks by International Photographers,03-04-1986,1986,05-02-1986,"1000 5th Ave, New York, NY 10028"
Bookworks by Tom Phillips,04-03-1986,1986,05-16-1986,"626 Broadway, New York, NY 10012"
New Work: the 1986 annual Artist Members Exhibition,08-13-1986,1986,09-07-1986,NA
Works by Timothy C. Ely & Hedi Kyle,09-11-1986,1986,10-17-1986,"626 Broadway, New York, NY 10012"
Book Works London,04-02-1987,1987,05-09-1987,"626 Broadway, New York, NY 10012"
International Artist's Books Contest of Canada,01-21-1987,1987,02-05-1987,multiple
